,author_display_name,author_channel_id,comment,comment_last_updated,clean_comment
119,Neko,UCyj9D0sM7Jj3o3CoPa4m8xA,one of my most favorite songs,2021-11-06 14:30:01+00:00,one favorite songs
120,Adinda Tania,UCE0FWUuAag6HX-gt1DkrEew,this song makes me feel weirdly nostalgic about something i dont even remember,2021-10-29 11:35:31+00:00,song makes feel weirdly nostalgic something dont even remember
121,Jerusalem G.,UCpBR4qOcPI8UAzfhgfdYYAA,"Found this song for almost a year now, and I just so love the beat as well as its lyrics. I remember when I dance with this song, and all my cousins laughed hard. Giling! Charrz!",2021-10-29 09:40:04+00:00,found song almost year now love beat well lyrics remember dance song cousins laughed hard giling charrz
122,Mansi Gupta,UCZaKMTtXSnTCtesWwjn07ZA,"Beautiful, just beautiful. Glad this came in my recommendations. Everything about it is perfect.",2021-10-25 04:57:38+00:00,beautiful beautiful glad came recommendations everything perfect
123,Mighty Heidi Dream Warrior,UCY4oQDrdEbb3NvgsMxUhKMQ,"yo, connected to your second channel",2021-10-19 18:34:42+00:00,yo connected second channel
124,Bianca Sophia,UCTEFxbYfJzZDlYM38rgxu3g,My girl just send me this song :)))) what a v cuteeee song,2021-10-15 09:44:30+00:00,girl send song  v cuteeee song
125,Daniels gama,UCdwjgqzYm6q9ELAUzkDMBzQ,"Esta canción la dediqué hace menos de un año y no la recordaba, la vuelvo a escuchar teniendo días de haber terminado y faltando un mes para cumplir un año de andar",2021-10-14 03:26:51+00:00,esta canción la dediqué hace menos de un año la recordaba la vuelvo escuchar teniendo días de haber terminado faltando un mes para cumplir un año de andar
126,carolyn damish,UCXDrhuI7P3gSiE0mxWRtvJA,Still a vibe,2021-10-08 04:55:21+00:00,still vibe
127,monsune,UCgajA3kR51HxKRvpdTjZnOw,30 seconds in and I have chills... wow,2021-10-06 02:47:18+00:00,30 seconds chills wow
128,Tina Batton,UCAu8Ai9OBVzebed45sklyiQ,This song changed my life ❤️💋My soul partner was thus my lifesaver,2021-10-05 00:56:43+00:00,song changed life ❤️💋my soul partner thus lifesaver
129,Lovelie Mae Zea,UC7R5OS684Z6UmjS1WiSMYvA,perfect Wedding song  🥰🥰🥰🥰,2021-10-01 18:15:17+00:00,perfect wedding song 🥰🥰🥰🥰
